pays,id,date,idh,pop
Guinea,GIN,2010,0.404,177998
Guinea,GIN,2005,0.371,229611
Guinea,GIN,1990,0.276,403621
Guinea,GIN,2000,0.329,560075
Guinea,GIN,1995,0.295,774505
Guinea-Bissau,GNB,2005,0.396,20736
Guinea-Bissau,GNB,2010,0.426,21061
Guinea-Bissau,GNB,2015,0.449,22333
Guinea-Bissau,GNB,2019,0.455,26916
Guyana,GUY,1990,0.538,4095
Guyana,GUY,1995,0.578,6352
Guyana,GUY,2000,0.604,8610
Guyana,GUY,2005,0.614,10868
Guyana,GUY,2010,0.63,13126
Guyana,GUY,2015,0.651,15384
Guyana,GUY,2019,0.654,15699
Haiti,HTI,2005,0.453,16360
Haiti,HTI,2010,0.47,17178
Haiti,HTI,2000,0.442,17222
Haiti,HTI,2015,0.493,18036
Haiti,HTI,1995,0.418,18129
Haiti,HTI,2019,0.498,18756
Haiti,HTI,1990,0.409,19084
Honduras,HND,2010,0.596,27288
Honduras,HND,2005,0.58,27875
Honduras,HND,2000,0.554,28461
Honduras,HND,2015,0.609,38317
Honduras,HND,2019,0.617,38933
Honduras,HND,1995,0.529,149442
Honduras,HND,1990,0.506,270423
Hong Kong,HKG,1990,0.781,2 218 473
Hong Kong,HKG,1995,0.808,2 443 798
Hong Kong,HKG,2000,0.827,2 669 122
Hong Kong,HKG,2005,0.871,2 721 235
Hong Kong,HKG,2010,0.901,2 779 950
Hong Kong,HKG,2015,0.927,2 838 665
Hong Kong,HKG,2019,0.933,2 942 254
Hungary,HUN,2000,0.769,296957
Hungary,HUN,1995,0.741,322234
Hungary,HUN,1990,0.704,347510
Hungary,HUN,2005,0.804,366787
Hungary,HUN,2010,0.823,436616
Hungary,HUN,2015,0.834,475508
Hungary,HUN,2019,0.838,512043
Iceland,ISL,1990,0.802,9584
Iceland,ISL,1995,0.826,12738
Iceland,ISL,2000,0.86,15892
Iceland,ISL,2005,0.889,25492
Iceland,ISL,2010,0.891,35091
Iceland,ISL,2015,0.927,39072
Iceland,ISL,2019,0.935,52404
India,IND,2019,0.64,5154737
India,IND,2015,0.627,5240960
India,IND,2010,0.581,5439758
India,IND,2005,0.535,5923945
India,IND,2000,0.493,6411331
India,IND,1995,0.46,6952238
India,IND,1990,0.427,7594801
Indonesia,IDN,2005,0.632,289568
Indonesia,IDN,2000,0.606,292307
Indonesia,IDN,2010,0.661,305416
Indonesia,IDN,2015,0.686,338124
Indonesia,IDN,2019,0.694,353135
Indonesia,IDN,1995,0.564,378960
Indonesia,IDN,1990,0.528,465612
Iran,IRN,2005,0.695,2568930
Iran,IRN,2019,0.798,2682214
Iran,IRN,2015,0.789,2726420
Iran,IRN,2010,0.755,2761561
Iran,IRN,2000,0.67,2803805
Iran,IRN,1995,0.64,2937668
Iran,IRN,1990,0.577,4291601
Iraq,IRQ,1990,0.572,83638
Iraq,IRQ,2010,0.649,117389
Iraq,IRQ,2005,0.631,132915
Iraq,IRQ,1995,0.553,199460
Iraq,IRQ,2000,0.607,210525
Iraq,IRQ,2015,0.668,359381
Iraq,IRQ,2019,0.685,368062
Ireland,IRL,1995,0.795,226892
Ireland,IRL,1990,0.763,227961
Ireland,IRL,2000,0.857,350552
Ireland,IRL,2005,0.896,589046
Ireland,IRL,2010,0.909,730542
Ireland,IRL,2015,0.929,759256
Ireland,IRL,2019,0.938,833564
Israel,ISR,1990,0.792,1632704
Israel,ISR,1995,0.823,1792185
Israel,ISR,2000,0.853,1851309
Israel,ISR,2005,0.872,1889503
Israel,ISR,2010,0.887,1950615
Israel,ISR,2019,0.903,1956346
Israel,ISR,2015,0.901,2011727
Italy,ITA,1990,0.769,1428219
Italy,ITA,1995,0.8,1774954
Italy,ITA,2000,0.83,2121688
Italy,ITA,2005,0.857,3954790
Italy,ITA,2010,0.87,5787893
Italy,ITA,2015,0.876,5805328
Italy,ITA,2019,0.88,6273722
Jamaica,JAM,1990,0.638,20475
Jamaica,JAM,1995,0.657,22713
Jamaica,JAM,2015,0.73,23167
Jamaica,JAM,2019,0.732,23468
Jamaica,JAM,2010,0.712,23677
Jamaica,JAM,2005,0.695,24314
Jamaica,JAM,2000,0.662,24952
