pays,id,date,idh,pop
Azerbaijan,AZE,2000,0.64,0.0406952761971026
Azerbaijan,AZE,2005,0.679,0.036013513110935015
Azerbaijan,AZE,2010,0.74,0.030582156695822506
Azerbaijan,AZE,2015,0.758,0.027384357128637075
Azerbaijan,AZE,2019,0.757,0.025535955641804026
Bahamas,BHS,2000,0.776,0.12230792716682716
Bahamas,BHS,2005,0.786,0.1403531993880422
Bahamas,BHS,2010,0.789,0.15421111054763878
Bahamas,BHS,2015,0.807,0.1584848986921642
Bahamas,BHS,2019,0.807,0.1632662586868582
Bahrain,BHR,1990,0.746,0.3492663293885641
Bahrain,BHR,1995,0.775,0.36540730214991385
Bahrain,BHR,2000,0.792,0.3601520287807454
Bahrain,BHR,2005,0.791,0.45437961950776234
Bahrain,BHR,2010,0.796,0.5301613397160034
Bahrain,BHR,2015,0.832,0.5132751297334769
Bahrain,BHR,2019,0.846,0.47224581522442094
Bangladesh,BGD,1990,0.387,0.008545122474948522
Bangladesh,BGD,1995,0.425,0.008116137606404727
Bangladesh,BGD,2000,0.468,0.007738286122215402
Bangladesh,BGD,2005,0.505,0.008391381755329332
Bangladesh,BGD,2010,0.545,0.009117683072310886
Bangladesh,BGD,2015,0.592,0.009105586261379991
Bangladesh,BGD,2019,0.608,0.01354528168604833
Barbados,BRB,1990,0.716,0.09206855320844959
Barbados,BRB,1995,0.731,0.09860314714895377
Barbados,BRB,2000,0.752,0.10468666556175533
Barbados,BRB,2005,0.767,0.11082682223340076
Barbados,BRB,2010,0.782,0.11634666165717344
Barbados,BRB,2015,0.797,0.12082755043389269
Barbados,BRB,2019,0.8,0.12143063972006796
Belarus,BLR,1995,0.657,0.11637061016284089
Belarus,BLR,2000,0.683,0.11258816727306979
Belarus,BLR,2005,0.725,0.11454798598704562
Belarus,BLR,2010,0.792,0.11489051831694638
Belarus,BLR,2015,0.805,0.11411473340965535
Belarus,BLR,2019,0.808,0.11274132649952252
Belgium,BEL,1990,0.806,0.12847740614659078
Belgium,BEL,1995,0.852,0.12706195271866072
Belgium,BEL,2000,0.873,0.12372813071576637
Belgium,BEL,2005,0.889,0.11916963851241055
Belgium,BEL,2010,0.903,0.1380197448765032
Belgium,BEL,2015,0.913,0.15819203427011558
Belgium,BEL,2019,0.916,0.17351665215090648
Belize,BLZ,1990,0.644,0.16210970824091453
Belize,BLZ,1995,0.662,0.1616037649241652
Belize,BLZ,2000,0.677,0.14753654246608577
Belize,BLZ,2005,0.693,0.14596194503171248
Belize,BLZ,2010,0.699,0.1437679865039198
Belize,BLZ,2015,0.709,0.15147963749504756
Belize,BLZ,2019,0.708,0.1566237068324149
Benin,BEN,1990,0.348,0.015416503297381378
Benin,BEN,1995,0.373,0.017898901340059652
Benin,BEN,2000,0.398,0.019611995483218566
Benin,BEN,2005,0.44,0.027797888433362877
Benin,BEN,2010,0.473,0.033603141296489204
Benin,BEN,2015,0.508,0.03463366702118164
Benin,BEN,2019,0.515,0.03396694554519929
Bhutan,BTN,2005,0.51,0.062088143305705376
Bhutan,BTN,2010,0.566,0.07063426418265129
Bhutan,BTN,2015,0.603,0.07021250872401343
Bhutan,BTN,2019,0.612,0.07059175974358227
Bolivia,BOL,1990,0.536,0.010744311376722144
Bolivia,BOL,1995,0.571,0.01096750104757884
Bolivia,BOL,2000,0.608,0.011006782395990433
Bolivia,BOL,2005,0.624,0.011670432067567951
